feature,importance
area_est,0.9736488237408799
modules_instantiated,0.019854013867257162
registers,0.003112250811660872
mux_area,0.0013590698899502416
flipflops,0.0012638784458249037
control_steps,0.0004963492908700674
states,0.00011178590089404497
source_lines,6.380253049354007e-05
num_function_calls,2.2901520865968337e-05
benchmark_3mm,1.9739963535940422e-05
num_assignments,1.1985748860950025e-05
mem_policy_LSS,8.25828493978341e-06
performance_conflicts,5.84564114637724e-06
benchmark_gemm,3.700680011738799e-06
benchmark_bicg,2.7431160224967073e-06
num_div_ops,2.4606553236324336e-06
num_mul_ops,2.1675713951919062e-06
mem_policy_ALL_BRAM,1.73348700130196e-06
benchmark_2mm,1.46823819218686e-06
num_arithmetic_ops,1.2024732156558992e-06
frequency_mhz,1.0948205873381801e-06
opt_level_O0,7.951423388661387e-07
num_array_accesses,6.704232262756494e-07
opt_level_O2,6.52472250276951e-07
dataset_size_MEDIUM,6.295473484926925e-07
benchmark_syrk,3.5845035723515414e-07
dataset_size_SMALL,2.5307667871488306e-07
benchmark_gesummv,2.5077820439828005e-07
min_slack,2.504908055894434e-07
opt_level_O3,2.3553225741844492e-07
num_total_loops,1.858239324649622e-07
num_add_ops,1.317408303049419e-07
num_if_statements,1.2900342867471487e-07
benchmark_syr2k,9.577687578626186e-08
clock_period,8.351666622539969e-08
max_loop_depth,1.545869643916516e-09
benchmark_trmm,0.0
benchmark_nussinov,0.0
benchmark_seidel-2d,0.0
benchmark_symm,0.0
benchmark_gemver,0.0
benchmark_jacobi-1d,0.0
benchmark_jacobi-2d,0.0
benchmark_mvt,0.0
benchmark_deriche,0.0
benchmark_floyd-warshall,0.0
benchmark_atax,0.0
dsp_coeff,0.0
num_for_loops,0.0
num_while_loops,0.0
num_sub_ops,0.0
num_var_decls,0.0
